"crash_date","crash_time","borough","zip_code","latitude","longitude","location","on_street_name","off_street_name","cross_street_name","number_of_persons_injured","number_of_persons_killed","number_of_pedestrians_injured","number_of_pedestrians_killed","number_of_cyclist_injured","number_of_cyclist_killed","number_of_motorist_injured","number_of_motorist_killed","contributing_factor_vehicle_1","contributing_factor_vehicle_2","contributing_factor_vehicle_3","contributing_factor_vehicle_4","contributing_factor_vehicle_5","collision_id","vehicle_type_code1","vehicle_type_code2","vehicle_type_code_3","vehicle_type_code_4","vehicle_type_code_5"
"2026-01-14T00:00:00.000","11:00",,,"40.57654","-74.166435","
,  
(40.57654, -74.166435)",,,"2795      RICHMOND AVE","0","0","0","0","0","0","0","0","Unspecified",,,,,"4871595","Sedan",,,,
"2026-01-14T00:00:00.000","7:00","MANHATTAN","10011","40.742283","-74.00442","
,  
(40.742283, -74.00442)","W 16 ST","9 AVE",,"1","0","1","0","0","0","0","0","Driver Inattention/Distraction",,,,,"4871819","E-Bike",,,,
"2026-01-14T00:00:00.000","10:22","STATEN ISLAND","10309","40.5289","-74.2351","
,  
(40.5289, -74.2351)",,,"3010      VETERANS RD W","0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4871763","Station Wagon/Sport Utility Vehicle","Sedan",,,
"2026-01-14T00:00:00.000","8:10",,,"40.76635","-73.95103","
,  
(40.76635, -73.95103)","FDR DRIVE",,,"0","0","0","0","0","0","0","0","Reaction to Uninvolved Vehicle","Unspecified",,,,"4871508","Sedan","Sedan",,,
"2026-01-14T00:00:00.000","17:21","QUEENS","11385","40.704605","-73.86848","
,  
(40.704605, -73.86848)","78 RD","80 ST",,"0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified","Unspecified",,,"4872140","Sedan","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,
"2026-01-14T00:00:00.000","13:30",,,"40.830067","-73.929146","
,  
(40.830067, -73.929146)","JEROME AVE","E 161 ST",,"0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4871871","Station Wagon/Sport Utility Vehicle",,,,
"2026-01-14T00:00:00.000","8:11","BROOKLYN","11216","40.678585","-73.952065","
,  
(40.678585, -73.952065)","ATLANTIC AVE","PERRY PL",,"0","0","0","0","0","0","0","0","Unsafe Lane Changing","Driver Inexperience",,,,"4871782","Station Wagon/Sport Utility Vehicle","Sedan",,,
"2026-01-14T00:00:00.000","0:45","BROOKLYN","11210","40.61867","-73.954","
,  
(40.61867, -73.954)","AVENUE M","E 21 ST",,"0","0","0","0","0","0","0","0","Turning Improperly","Unspecified",,,,"4871527","Sedan","Station Wagon/Sport Utility Vehicle",,,
"2026-01-14T00:00:00.000","18:00","BRONX","10469","40.87039","-73.84609","
,  
(40.87039, -73.84609)","E GUN HILL RD","SEYMOUR AVE",,"0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4872321","Sedan",,,,
"2026-01-14T00:00:00.000","8:59","BROOKLYN","11208","40.66867","-73.86832","
,  
(40.66867, -73.86832)","LINDEN BLVD","CRESCENT ST",,"0","0","0","0","0","0","0","0","Unsafe Lane Changing","Unspecified",,,,"4871564","Sedan","Box Truck",,,
"2026-01-14T00:00:00.000","14:54","BROOKLYN","11218","40.63512","-73.97505","
,  
(40.63512, -73.97505)",,,"692       E 4 ST","0","0","0","0","0","0","0","0","Backing Unsafely","Unspecified",,,,"4872107","Sedan",,,,
"2026-01-14T00:00:00.000","13:20","QUEENS","11375","40.722115","-73.83652","
,  
(40.722115, -73.83652)",,,"72-06     GRAND CENTRAL PKWY","0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4872104","Pick-up Truck",,,,
"2026-01-14T00:00:00.000","6:00",,,"40.8245","-73.82518","
,  
(40.8245, -73.82518)","POLICE OFFICER RICHARD LOPEZ WAY","CROSS BRONX EXPRESSWAY",,"1","0","0","0","0","0","1","0","Unspecified","Unspecified",,,,"4871663","Station Wagon/Sport Utility Vehicle","Box Truck",,,
"2026-01-14T00:00:00.000","19:43","QUEENS","11103","40.762966","-73.91595","
,  
(40.762966, -73.91595)",,,"30-38     STEINWAY ST","2","0","0","0","0","0","2","0","Passing or Lane Usage Improper","Unspecified",,,,"4871825","Sedan","Sedan",,,
"2026-01-14T00:00:00.000","23:18","QUEENS","11434","40.668484","-73.776955","
,  
(40.668484, -73.776955)",,,"140-31    158 ST","0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4871891","Station Wagon/Sport Utility Vehicle",,,,
"2026-01-14T00:00:00.000","21:15","BROOKLYN","11224","40.576275","-73.98795","
,  
(40.576275, -73.98795)","MERMAID AVE","W 21 ST",,"1","0","0","0","0","0","0","0","Traffic Control Disregarded","Traffic Control Disregarded",,,,"4871641","Taxi","Standing S",,,
"2026-01-14T00:00:00.000","8:00","BROOKLYN","11234","40.626156","-73.912476","
,  
(40.626156, -73.912476)",,,"1254      E 73 ST","0","0","0","0","0","0","0","0","Unspecified",,,,,"4871602","Station Wagon/Sport Utility Vehicle",,,,
"2026-01-14T00:00:00.000","6:10","MANHATTAN","10031","40.822006","-73.952644","
,  
(40.822006, -73.952644)",,,"30        HAMILTON PL","0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4871997","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"2026-01-14T00:00:00.000","17:49","BROOKLYN","11210","40.6248","-73.94265","
,  
(40.6248, -73.94265)","AVENUE K","E 34 ST",,"3","0","0","0","0","0","3","0","Unspecified","Unspecified","Unspecified","Unspecified",,"4871632","Sedan","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",
"2026-01-14T00:00:00.000","11:39","STATEN ISLAND","10301","40.645473","-74.092865","
,  
(40.645473, -74.092865)","RICHMOND TER","FRANKLIN AVE",,"0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4871603","Station Wagon/Sport Utility Vehicle","Sedan",,,
"2026-01-14T00:00:00.000","17:38","BROOKLYN","11236","40.63739","-73.91037","
,  
(40.63739, -73.91037)","FLATLANDS AVE","E 84 ST",,"0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4871658","Dump","Sedan",,,
"2026-01-14T00:00:00.000","9:49","BROOKLYN","11220","40.638355","-74.02686","
,  
(40.638355, -74.02686)",,,"228       67 ST","1","0","0","0","0","0","1","0","Passing Too Closely","Unspecified",,,,"4871571","Taxi","PK",,,
"2026-01-14T00:00:00.000","21:00","QUEENS","11435","40.70465","-73.816635","
,  
(40.70465, -73.816635)",,,"87-53     VAN WYCK EXPY","0","0","0","0","0","0","0","0","Unspecified",,,,,"4871776","Sedan",,,,
"2026-01-14T00:00:00.000","8:40","MANHATTAN","10030","40.817623","-73.94103","
,  
(40.817623, -73.94103)",,,"153       W 139 ST","0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4872555","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",,,
"2026-01-14T00:00:00.000","0:00","BROOKLYN","11207","40.670193","-73.88968","
,  
(40.670193, -73.88968)","VAN SICLEN AVE","SUTTER AVE",,"1","0","0","0","0","0","1","0","Unsafe Speed","Unspecified",,,,"4871802","Sedan","Sedan",,,
"2026-01-14T00:00:00.000","12:40","MANHATTAN","10014","40.73401","-74.00456","
,  
(40.73401, -74.00456)","W 10 ST","BLEECKER ST",,"0","0","0","0","0","0","0","0","Unspecified","Unspecified",,,,"4871594","Box Truck","Sedan",,,
"2026-01-14T00:00:00.000","16:25","MANHATTAN","10021","40.770435","-73.96011","
,  
(40.770435, -73.96011)","E 73 ST","3 AVE",,"1","0","1","0","0","0","0","0","Driver Inattention/Distraction",,,,,"4871647","Sedan",,,,
"2026-01-14T00:00:00.000","23:48",,,"40.816177","-73.93091","
,  
(40.816177, -73.93091)","MAJOR DEEGAN EXPRESSWAY",,,"1","0","0","0","0","0","1","0","Unspecified","Unspecified",,,,"4871750","Tractor Truck Diesel","Sedan",,,
"2026-01-14T00:00:00.000","0:20",,,,,,"BELT PARKWAY EXIT 24 B WB","MERRICK BLVD",,"0","0","0","0","0","0","0","0","Unsafe Lane Changing","Unspecified",,,,"4872206","Sedan",,,,
"2026-01-14T00:00:00.000","19:26","BRONX","10464","40.863438","-73.80777","
,  
(40.863438, -73.80777)",,,"1         CITY ISLAND RD","1","0","0","0","0","0","1","0","Lost Consciousness",,,,,"4871664","Station Wagon/Sport Utility Vehicle",,,,
"2026-01-14T00:00:00.000","16:00",,,"40.615032","-74.15737","
,  
(40.615032, -74.15737)","STATEN ISLAND EXPY","RICHMOND AVE",,"0","0","0","0","0","0","0","0","Unspecified",,,,,"4871716","Sedan",,,,
"2026-01-14T00:00:00.000","16:06",,,"40.674522","-73.8032","
,  
(40.674522, -73.8032)","135 ST","ROCKAWAY BLVD",,"1","0","1","0","0","0","0","0","Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",,,,,"4871609",,,,,
"2026-01-14T00:00:00.000","0:00",,,"40.691074","-73.88733","
,  
(40.691074, -73.88733)","JACKIE ROBINSON PKWY",,,"0","0","0","0","0","0","0","0","Following Too Closely","Unspecified",,,,"4871925","Station Wagon/Sport Utility Vehicle","Sedan",,,
"2026-01-14T00:00:00.000","9:20",,,"40.739227","-73.815094","
,  
(40.739227, -73.815094)","LONG ISLAND EXPRESSWAY","KISSENA BOULEVARD",,"1","0","1","0","0","0","0","0","Failure to Yield Right-of-Way",,,,,"4871920","Station Wagon/Sport Utility Vehicle",,,,
"2026-01-14T00:00:00.000","18:00","QUEENS","11411","40.698456","-73.73754","
,  
(40.698456, -73.73754)",,,"115-50    221 ST","0","0","0","0","0","0","0","0","Driver Inattention/Distraction","Unspecified",,,,"4871797","Station Wagon/Sport Utility Vehicle",,,,
"2026-01-14T00:00:00.000","14:00","MANHATTAN","10003","40.734642","-73.987976","
,  
(40.734642, -73.987976)",,,"123       E 15 ST","0","0","0","0","0","0","0","0","Backing Unsafely","Unspecified",,,,"4872333","Sedan",,,,
"2026-01-14T00:00:00.000","7:00","QUEENS","11426","40.730553","-73.71497","
,  
(40.730553, -73.71497)","251 ST","87 AVE",,"2","0","0","0","0","0","2","0","Other Vehicular","Other Vehicular",,,,"4871729","Van","Station Wagon/Sport Utility Vehicle",,,
