borough,datetime,temperature_2m,precipitation,visibility,rain,showers,snowfall,wind_speed_10m,date,hour_nyc,day_of_week,is_weekend,is_rush_hour,is_night,month,season,weather_category,weather_severity
MANHATTAN,2026-06-02 04:00:00,11.62,0.0,20400.0,0.0,0.0,0.0,3.1,2026-06-02,4,Tuesday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 05:00:00,10.92,0.0,19900.0,0.0,0.0,0.0,3.26,2026-06-02,5,Tuesday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 06:00:00,10.47,0.0,18000.0,0.0,0.0,0.0,2.55,2026-06-02,6,Tuesday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 07:00:00,9.82,0.0,15700.0,0.0,0.0,0.0,4.45,2026-06-02,7,Tuesday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 08:00:00,9.37,0.0,15200.0,0.0,0.0,0.0,4.68,2026-06-02,8,Tuesday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 09:00:00,9.07,0.0,13000.0,0.0,0.0,0.0,4.45,2026-06-02,9,Tuesday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 10:00:00,9.67,0.0,13400.0,0.0,0.0,0.0,5.05,2026-06-02,10,Tuesday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 11:00:00,11.82,0.0,17600.0,0.0,0.0,0.0,9.11,2026-06-02,11,Tuesday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 12:00:00,14.42,0.0,21400.0,0.0,0.0,0.0,9.18,2026-06-02,12,Tuesday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 13:00:00,16.92,0.0,28100.0,0.0,0.0,0.0,12.1,2026-06-02,13,Tuesday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 14:00:00,19.92,0.0,36700.0,0.0,0.0,0.0,11.99,2026-06-02,14,Tuesday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 15:00:00,22.07,0.0,51400.0,0.0,0.0,0.0,11.2,2026-06-02,15,Tuesday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 16:00:00,23.52,0.0,55700.0,0.0,0.0,0.0,16.24,2026-06-02,16,Tuesday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 17:00:00,24.22,0.0,60500.0,0.0,0.0,0.0,18.39,2026-06-02,17,Tuesday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 18:00:00,25.02,0.0,66200.0,0.0,0.0,0.0,20.53,2026-06-02,18,Tuesday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 19:00:00,25.27,0.0,69400.0,0.0,0.0,0.0,17.31,2026-06-02,19,Tuesday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 20:00:00,25.52,0.0,72500.0,0.0,0.0,0.0,19.11,2026-06-02,20,Tuesday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 21:00:00,25.22,0.0,71000.0,0.0,0.0,0.0,16.2,2026-06-02,21,Tuesday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 22:00:00,24.47,0.0,63200.0,0.0,0.0,0.0,10.59,2026-06-02,22,Tuesday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-02 23:00:00,24.27,0.0,66100.0,0.0,0.0,0.0,7.7,2026-06-02,23,Tuesday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 00:00:00,23.27,0.0,63800.0,0.0,0.0,0.0,5.96,2026-06-03,0,Wednesday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 01:00:00,22.17,0.0,65500.0,0.0,0.0,0.0,6.49,2026-06-03,1,Wednesday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 02:00:00,20.42,0.0,56000.0,0.0,0.0,0.0,5.15,2026-06-03,2,Wednesday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 03:00:00,19.87,0.0,53600.0,0.0,0.0,0.0,6.85,2026-06-03,3,Wednesday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 04:00:00,19.22,0.0,47600.0,0.0,0.0,0.0,10.32,2026-06-03,4,Wednesday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 05:00:00,18.82,0.0,48000.0,0.0,0.0,0.0,10.59,2026-06-03,5,Wednesday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 06:00:00,18.72,0.0,44700.0,0.0,0.0,0.0,6.44,2026-06-03,6,Wednesday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 07:00:00,17.97,0.0,45100.0,0.0,0.0,0.0,7.97,2026-06-03,7,Wednesday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 08:00:00,16.07,0.0,40000.0,0.0,0.0,0.0,4.68,2026-06-03,8,Wednesday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 09:00:00,15.37,0.0,38300.0,0.0,0.0,0.0,3.88,2026-06-03,9,Wednesday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 10:00:00,15.22,0.0,37500.0,0.0,0.0,0.0,3.08,2026-06-03,10,Wednesday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 11:00:00,17.42,0.0,39500.0,0.0,0.0,0.0,6.38,2026-06-03,11,Wednesday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 12:00:00,20.42,0.0,46300.0,0.0,0.0,0.0,10.59,2026-06-03,12,Wednesday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 13:00:00,23.07,0.0,57800.0,0.0,0.0,0.0,13.85,2026-06-03,13,Wednesday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 14:00:00,24.42,0.0,57500.0,0.0,0.0,0.0,12.07,2026-06-03,14,Wednesday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 15:00:00,26.27,0.0,70700.0,0.0,0.0,0.0,14.99,2026-06-03,15,Wednesday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 16:00:00,27.02,0.0,70300.0,0.0,0.0,0.0,12.96,2026-06-03,16,Wednesday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 17:00:00,28.12,0.0,70200.0,0.0,0.0,0.0,9.61,2026-06-03,17,Wednesday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 18:00:00,28.42,0.0,73500.0,0.0,0.0,0.0,11.73,2026-06-03,18,Wednesday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 19:00:00,28.87,0.0,76400.0,0.0,0.0,0.0,7.57,2026-06-03,19,Wednesday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 20:00:00,29.42,0.0,77000.0,0.0,0.0,0.0,8.53,2026-06-03,20,Wednesday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 21:00:00,29.17,0.0,73100.0,0.0,0.0,0.0,7.34,2026-06-03,21,Wednesday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 22:00:00,26.37,0.0,64400.0,0.0,0.0,0.0,14.69,2026-06-03,22,Wednesday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-03 23:00:00,24.87,0.0,64200.0,0.0,0.0,0.0,17.07,2026-06-03,23,Wednesday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 00:00:00,22.87,0.0,59800.0,0.0,0.0,0.0,14.39,2026-06-04,0,Thursday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 01:00:00,21.92,0.0,61600.0,0.0,0.0,0.0,10.59,2026-06-04,1,Thursday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 02:00:00,20.77,0.0,56000.0,0.0,0.0,0.0,6.52,2026-06-04,2,Thursday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 03:00:00,20.37,0.0,56700.0,0.0,0.0,0.0,8.76,2026-06-04,3,Thursday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 04:00:00,19.22,0.0,48700.0,0.0,0.0,0.0,6.21,2026-06-04,4,Thursday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 05:00:00,19.12,0.0,53100.0,0.0,0.0,0.0,6.62,2026-06-04,5,Thursday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 06:00:00,18.27,0.0,50900.0,0.0,0.0,0.0,5.82,2026-06-04,6,Thursday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 07:00:00,17.17,0.0,50400.0,0.0,0.0,0.0,5.62,2026-06-04,7,Thursday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 08:00:00,16.17,0.0,46600.0,0.0,0.0,0.0,3.1,2026-06-04,8,Thursday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 09:00:00,16.17,0.0,48100.0,0.0,0.0,0.0,2.04,2026-06-04,9,Thursday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 10:00:00,15.47,0.0,40400.0,0.0,0.0,0.0,4.45,2026-06-04,10,Thursday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 11:00:00,17.47,0.0,36800.0,0.0,0.0,0.0,2.9,2026-06-04,11,Thursday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 12:00:00,21.07,0.0,44200.0,0.0,0.0,0.0,0.8,2026-06-04,12,Thursday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 13:00:00,23.42,0.0,47700.0,0.0,0.0,0.0,6.12,2026-06-04,13,Thursday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 14:00:00,25.67,0.0,50700.0,0.0,0.0,0.0,6.13,2026-06-04,14,Thursday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 15:00:00,27.87,0.0,59300.0,0.0,0.0,0.0,4.39,2026-06-04,15,Thursday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 16:00:00,29.37,0.0,68200.0,0.0,0.0,0.0,3.56,2026-06-04,16,Thursday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 17:00:00,30.97,0.0,77400.0,0.0,0.0,0.0,9.2,2026-06-04,17,Thursday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 18:00:00,30.47,0.0,69700.0,0.0,0.0,0.0,8.4,2026-06-04,18,Thursday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 19:00:00,30.97,0.0,75600.0,0.0,0.0,0.0,7.24,2026-06-04,19,Thursday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 20:00:00,30.77,0.0,72600.0,0.0,0.0,0.0,6.49,2026-06-04,20,Thursday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 21:00:00,30.22,0.0,72800.0,0.0,0.0,0.0,3.67,2026-06-04,21,Thursday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 22:00:00,27.77,0.0,55500.0,0.0,0.0,0.0,15.38,2026-06-04,22,Thursday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-04 23:00:00,27.52,0.0,58700.0,0.0,0.0,0.0,13.09,2026-06-04,23,Thursday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-05 00:00:00,25.82,0.0,58700.0,0.0,0.0,0.0,8.79,2026-06-05,0,Friday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-05 01:00:00,23.57,0.0,46100.0,0.0,0.0,0.0,8.4,2026-06-05,1,Friday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-05 02:00:00,22.02,0.0,36900.0,0.0,0.0,0.0,2.04,2026-06-05,2,Friday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-05 03:00:00,21.32,0.0,37700.0,0.0,0.0,0.0,7.29,2026-06-05,3,Friday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-05 04:00:00,20.12,0.0,34900.0,0.0,0.0,0.0,8.4,2026-06-05,4,Friday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-05 05:00:00,20.02,0.0,33900.0,0.0,0.0,0.0,2.97,2026-06-05,5,Friday,False,False,True,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-05 06:00:00,18.87,0.0,29100.0,0.0,0.0,0.0,5.63,2026-06-05,6,Friday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-05 07:00:00,18.02,0.0,27400.0,0.0,0.0,0.0,3.42,2026-06-05,7,Friday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-05 08:00:00,17.12,0.0,25100.0,0.0,0.0,0.0,1.44,2026-06-05,8,Friday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-05 09:00:00,16.37,0.0,20700.0,0.0,0.0,0.0,3.08,2026-06-05,9,Friday,False,True,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-05 10:00:00,16.67,0.0,22200.0,0.0,0.0,0.0,2.6,2026-06-05,10,Friday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-05 11:00:00,18.82,0.0,23600.0,0.0,0.0,0.0,4.39,2026-06-05,11,Friday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-05 12:00:00,22.42,0.0,36800.0,0.0,0.0,0.0,3.88,2026-06-05,12,Friday,False,False,False,6,SUMMER,CLEAR,LIGHT
MANHATTAN,2026-06-05 13:00:00,25.82,0.0,50100.0,0.0,0.0,0.0,3.56,2026-06-05,13,Friday,False,False,False,6,SUMMER,CLEAR,LIGHT
